Sport,Parameter,Model,R2,MSE
Shooting,CV,SARIMA,-0.14780368635834007,0.011880367443844084
Shooting,CV,SARIMAX,-0.09056757750986577,0.01128794383320633
Short Track Speed Skating,drug,ARIMA,1.0,0.0
Short Track Speed Skating,drug,SARIMA,1.0,0.0
Short Track Speed Skating,drug,SARIMAX,1.0,0.0
Skeleton,drug,ARIMA,1.0,0.0
Skeleton,drug,SARIMA,1.0,0.0
Skeleton,drug,SARIMAX,1.0,0.0
Ski Jumping,drug,ARIMA,1.0,0.0
Ski Jumping,drug,SARIMA,1.0,0.0
Ski Jumping,drug,SARIMAX,1.0,0.0
Ski Jumping,equity,ARIMA,1.0,0.0
Ski Jumping,equity,SARIMA,1.0,0.0
Ski Jumping,equity,SARIMAX,1.0,0.0
Ski Jumping,popularity,ARIMA,-0.08658850929140915,5.338187258243547e-06
Ski Jumping,popularity,SARIMA,0.18265523597398348,4.015447768503524e-06
Ski Jumping,popularity,SARIMAX,-0.08658850929140915,5.338187258243547e-06
Ski Jumping,normalizedcountry,ARIMA,-0.6274355083834984,0.00017829460125179215
Ski Jumping,normalizedcountry,SARIMA,-0.9994718025992722,0.00021905324415143134
Ski Jumping,normalizedcountry,SARIMAX,-0.6274355083834984,0.00017829460125179215
Ski Jumping,CV,ARIMA,-0.20201415217451646,0.015734566593031237
Ski Jumping,CV,SARIMA,-0.180146727120702,0.015448318336215867
Ski Jumping,CV,SARIMAX,-0.20201415217451646,0.015734566593031237
Snowboarding,drug,ARIMA,1.0,0.0
Snowboarding,drug,SARIMA,1.0,0.0
Snowboarding,drug,SARIMAX,1.0,0.0
Softball,drug,ARIMA,1.0,0.0
Softball,drug,SARIMA,1.0,0.0
Softball,drug,SARIMAX,1.0,0.0
Speed Skating,drug,ARIMA,1.0,0.0
Speed Skating,drug,SARIMA,1.0,0.0
Speed Skating,drug,SARIMAX,1.0,0.0
Speed Skating,equity,ARIMA,0.4739535867494191,0.02209878549864464
Speed Skating,equity,SARIMA,0.34648111468676857,0.027453801227556418
Speed Skating,equity,SARIMAX,0.4739535867494191,0.02209878549864464
Speed Skating,popularity,ARIMA,-0.2845689719144533,2.879504113813855e-05
Speed Skating,popularity,SARIMA,-0.37304345980417697,3.077829511216494e-05
Speed Skating,popularity,SARIMAX,-0.2845689719144533,2.879504113813855e-05
Speed Skating,normalizedcountry,ARIMA,-0.39106278994871113,0.0006513265107604298
Speed Skating,normalizedcountry,SARIMA,-0.7685778934569543,0.0008280874714475116
Speed Skating,normalizedcountry,SARIMAX,-0.39106278994871113,0.0006513265107604298
Speed Skating,CV,ARIMA,-0.14324460789289573,0.014139665481070115
Speed Skating,CV,SARIMA,-0.3282051577546383,0.016427260177939083
Speed Skating,CV,SARIMAX,-0.14324460789289573,0.014139665481070115
Swimming,drug,ARIMA,-0.09350262816677368,0.22477554023428128
Swimming,drug,SARIMA,-0.06330721660502037,0.21856870563547642
Swimming,drug,SARIMAX,-0.09350262816677368,0.22477554023428128
Swimming,equity,ARIMA,0.5055413828370192,0.011914107431467261
Swimming,equity,SARIMA,0.4890664332377268,0.012311075575293297
Swimming,equity,SARIMAX,0.5055413828370192,0.011914107431467261
Swimming,popularity,ARIMA,0.7772725099314602,0.00019124179266588468
Swimming,popularity,SARIMA,0.785361243162317,0.00018429651688071268
Swimming,popularity,SARIMAX,0.7772725099314602,0.00019124179266588468
Swimming,normalizedcountry,ARIMA,0.5935321620383107,0.02791442503760961
Swimming,normalizedcountry,SARIMA,0.4809080194555957,0.035648956264768036
Swimming,normalizedcountry,SARIMAX,0.5935321620383107,0.02791442503760961
Swimming,CV,ARIMA,-0.05726124619178852,0.010364174245989172
Swimming,CV,SARIMA,-0.19212747059660806,0.011686247720889498
Swimming,CV,SARIMAX,-0.05726124619178852,0.010364174245989172
Synchronized Swimming,drug,ARIMA,1.0,0.0
Synchronized Swimming,drug,SARIMA,1.0,0.0
Synchronized Swimming,drug,SARIMAX,1.0,0.0
Synchronized Swimming,equity,ARIMA,1.0,0.0
Synchronized Swimming,equity,SARIMA,1.0,0.0
Synchronized Swimming,equity,SARIMAX,1.0,0.0
Synchronized Swimming,popularity,ARIMA,0.09264666560141654,2.756540435968266e-06
Synchronized Swimming,popularity,SARIMA,0.09601839140217139,2.746297129247033e-06
Synchronized Swimming,popularity,SARIMAX,0.09264666560141654,2.756540435968266e-06
Table Tennis,drug,ARIMA,1.0,0.0
Table Tennis,drug,SARIMA,1.0,0.0
Table Tennis,drug,SARIMAX,1.0,0.0
Table Tennis,equity,ARIMA,-1.8810374491598303,4.356945960419163e-05
Table Tennis,equity,SARIMA,-0.8273316224922391,2.7634438189220755e-05
Table Tennis,equity,SARIMAX,-1.8810374491598303,4.356945960419163e-05
Table Tennis,popularity,ARIMA,-0.3609151548217282,2.454423519100545e-06
Table Tennis,popularity,SARIMA,-0.8028090600861493,3.251383410527618e-06
Table Tennis,popularity,SARIMAX,-0.3609151548217282,2.454423519100545e-06
Taekwondo,drug,ARIMA,1.0,0.0
Taekwondo,drug,SARIMA,1.0,0.0
Taekwondo,drug,SARIMAX,1.0,0.0
Tennis,drug,ARIMA,1.0,0.0
Tennis,drug,SARIMA,1.0,0.0
Tennis,drug,SARIMAX,1.0,0.0
Tennis,equity,ARIMA,0.2018527922794201,0.01969902582988653
Tennis,equity,SARIMA,0.12722134994051726,0.021541000212725463
Tennis,equity,SARIMAX,0.2018527922794201,0.01969902582988653
Tennis,popularity,ARIMA,-0.19516747635977705,0.00012260466549055557
Tennis,popularity,SARIMA,-0.2541319195805092,0.00012865345445102299
Tennis,popularity,SARIMAX,-0.19516747635977705,0.00012260466549055557
Tennis,normalizedcountry,ARIMA,0.58195561513337,0.004255227344181331
Tennis,normalizedcountry,SARIMA,0.5479989592463448,0.004600868371493596
Tennis,normalizedcountry,SARIMAX,0.58195561513337,0.004255227344181331
Tennis,CV,ARIMA,-0.19530245331133256,0.00858168199324853
Tennis,CV,SARIMA,-0.07498950314550101,0.007717894359304974
Tennis,CV,SARIMAX,-0.19530245331133256,0.00858168199324853
Trampolining,drug,ARIMA,1.0,0.0
Trampolining,drug,SARIMA,1.0,0.0
Trampolining,drug,SARIMAX,1.0,0.0
Triathlon,drug,ARIMA,-1.322958153419001,0.2994034953295601
Triathlon,drug,SARIMA,-1.3793357623299403,0.30666994270030334
Triathlon,drug,SARIMAX,-1.322958153419001,0.2994034953295601
Tug-Of-War,drug,ARIMA,1.0,0.0
Tug-Of-War,drug,SARIMA,1.0,0.0
Tug-Of-War,drug,SARIMAX,1.0,0.0
Volleyball,drug,ARIMA,-0.22872442744940868,0.22390089566855895
Volleyball,drug,SARIMA,-0.1113599726783665,0.20251448391028015
Volleyball,drug,SARIMAX,-0.22872442744940868,0.22390089566855895
Volleyball,equity,ARIMA,0.23208723576839152,0.0014009682557777749
Volleyball,equity,SARIMA,0.21825746042908634,0.0014261990855508572
Volleyball,equity,SARIMAX,0.23208723576839152,0.0014009682557777749
Volleyball,popularity,ARIMA,-0.5860098204122355,3.985839694996644e-05
Volleyball,popularity,SARIMA,-0.5423473371638239,3.87611045078023e-05
Volleyball,popularity,SARIMAX,-0.5860098204122355,3.985839694996644e-05
Volleyball,normalizedcountry,ARIMA,0.3302496633394755,0.00010858674097336316
Volleyball,normalizedcountry,SARIMA,0.21178542606957984,0.00012779336879108587
Volleyball,normalizedcountry,SARIMAX,0.3302496633394755,0.00010858674097336316
Volleyball,CV,ARIMA,-0.04079447639703537,0.004207682733039094
Volleyball,CV,SARIMA,-0.1181564913027815,0.00452043882628708
Volleyball,CV,SARIMAX,-0.04079447639703537,0.004207682733039094
Water Polo,drug,ARIMA,1.0,0.0
Water Polo,drug,SARIMA,1.0,0.0
Water Polo,drug,SARIMAX,1.0,0.0
Water Polo,equity,ARIMA,0.6385213169722884,0.012252069363574687
Water Polo,equity,SARIMA,0.6386638768927644,0.012247237393900826
Water Polo,equity,SARIMAX,0.6385213169722884,0.012252069363574687
Water Polo,popularity,ARIMA,-0.021169807262692686,1.7708767023634125e-05
Water Polo,popularity,SARIMA,-0.18337269711839488,2.0521632392925148e-05
Water Polo,popularity,SARIMAX,-0.021169807262692686,1.7708767023634125e-05
Water Polo,normalizedcountry,ARIMA,-0.12923389031623778,0.0005054825077066473
Water Polo,normalizedcountry,SARIMA,-0.12896073242009853,0.0005053602331809494
Water Polo,normalizedcountry,SARIMAX,-0.12923389031623778,0.0005054825077066473
Water Polo,CV,ARIMA,-0.08200827517541964,0.007903925084826206
Water Polo,CV,SARIMA,-0.16238156244378676,0.008491041150354815
Water Polo,CV,SARIMAX,-0.08200827517541964,0.007903925084826206
Weightlifting,drug,ARIMA,0.1141734835366951,59.25195143454551
Weightlifting,drug,SARIMA,0.09805782277423869,60.32991007665648
Weightlifting,drug,SARIMAX,0.1141734835366951,59.25195143454551
Weightlifting,equity,ARIMA,0.5345082272291688,0.015256693101925714
Weightlifting,equity,SARIMA,0.5176379060562708,0.015809625135791195
Weightlifting,equity,SARIMAX,0.5345082272291688,0.015256693101925714
Weightlifting,popularity,ARIMA,-0.4796091651863219,1.6696034980606665e-05
Weightlifting,popularity,SARIMA,-0.5962982423133454,1.8012764397676856e-05
Weightlifting,popularity,SARIMAX,-0.4796091651863219,1.6696034980606665e-05
Weightlifting,normalizedcountry,ARIMA,0.5143407696919028,0.008671270719828164
Weightlifting,normalizedcountry,SARIMA,0.4805793608297154,0.009274068520955329
Weightlifting,normalizedcountry,SARIMAX,0.5143407696919028,0.008671270719828164
Weightlifting,CV,ARIMA,-0.1106788609869056,0.02116800034861933
Weightlifting,CV,SARIMA,-0.4537169392203695,0.02770583087254183
Weightlifting,CV,SARIMAX,-0.1106788609869056,0.02116800034861933
Wrestling,drug,ARIMA,-0.0319058478145815,2.179614462995021
Wrestling,drug,SARIMA,-0.47208118998484716,3.1093626024013266
Wrestling,drug,SARIMAX,-0.0319058478145815,2.179614462995021
Wrestling,equity,ARIMA,0.5112478882199369,0.010892026218356816
Wrestling,equity,SARIMA,0.4422224339460895,0.012430284651546065
Wrestling,equity,SARIMAX,0.5112478882199369,0.010892026218356816
Wrestling,popularity,ARIMA,-0.10799065994817303,3.6335003112639e-05
Wrestling,popularity,SARIMA,0.0800122451476123,3.0169710941168836e-05
Wrestling,popularity,SARIMAX,-0.10799065994817303,3.6335003112639e-05
Wrestling,normalizedcountry,ARIMA,0.39319155270652173,0.005747616362910107
Wrestling,normalizedcountry,SARIMA,0.2568772962184678,0.007038768545420412
Wrestling,normalizedcountry,SARIMAX,0.39319155270652173,0.005747616362910107
Wrestling,CV,ARIMA,-0.13069406417814067,0.008156132799858004
Wrestling,CV,SARIMA,-0.12794713885054065,0.008136318166994
Wrestling,CV,SARIMAX,-0.13069406417814067,0.008156132799858004
