Sport,Parameter,Model,R2,MSE,Best Window Size
Hockey,drug,Moving Average,1.0,0.0,2
Hockey,equity,Moving Average,0.5500107014267996,0.023485851858798156,2
Hockey,popularity,Moving Average,0.010989650222844594,3.625494879156095e-05,2
Hockey,normalizedcountry,Moving Average,-0.02462724074384348,0.000315909090909091,2
Hockey,CV,Moving Average,-0.12278634909228225,0.008579448656922705,4
Ice Hockey,drug,Moving Average,1.0,0.0,2
Ice Hockey,equity,Moving Average,1.0,0.0,2
Ice Hockey,popularity,Moving Average,-0.1625223366196582,2.234793272844214e-05,5
Ice Hockey,normalizedcountry,Moving Average,-0.11777777777777798,0.00022006250000000004,5
Ice Hockey,CV,Moving Average,-0.02399706923875433,0.00896917252600534,8
Jeu De Paume,drug,Moving Average,1.0,0.0,2
Judo,drug,Moving Average,-0.013013013013013053,0.20823045267489712,9
Judo,equity,Moving Average,0.21339063046434625,0.032729571260154834,2
Judo,popularity,Moving Average,0.033824700331122504,4.859120385064408e-05,3
Judo,normalizedcountry,Moving Average,0.08704371618680407,0.020390625000000006,2
Judo,CV,Moving Average,-0.12055776722316303,0.07724035707930581,9
Lacrosse,drug,Moving Average,1.0,0.0,2
Luge,drug,Moving Average,1.0,0.0,2
Military Ski Patrol,drug,Moving Average,1.0,0.0,2
Modern Pentathlon,drug,Moving Average,-0.03170731707317098,0.18800000000000006,5
Modern Pentathlon,equity,Moving Average,0.503968253968254,0.025,2
Modern Pentathlon,popularity,Moving Average,0.21861299799693867,4.22166289329146e-06,2
Modern Pentathlon,normalizedcountry,Moving Average,0.12431021423934208,0.0007649456521739131,2
Modern Pentathlon,CV,Moving Average,-0.16823942012142834,0.09069852119491752,9
Motorboating,drug,Moving Average,1.0,0.0,2
Nordic Combined,drug,Moving Average,1.0,0.0,2
Nordic Combined,equity,Moving Average,1.0,0.0,2
Nordic Combined,popularity,Moving Average,-0.08489045955423213,3.933766571671777e-06,2
Nordic Combined,normalizedcountry,Moving Average,-0.049890350877192846,7.979166666666669e-05,8
Nordic Combined,CV,Moving Average,-0.12730758371282458,0.015781073485164197,4
Polo,drug,Moving Average,1.0,0.0,2
Racquets,drug,Moving Average,1.0,0.0,2
Rhythmic Gymnastics,drug,Moving Average,1.0,0.0,2
Roque,drug,Moving Average,1.0,0.0,2
Rowing,drug,Moving Average,-0.00961538461538436,0.11666666666666667,4
Rowing,equity,Moving Average,0.5869108731812884,0.014972935596867224,2
Rowing,popularity,Moving Average,-0.13989559619715974,0.00024640129138255994,9
Rowing,normalizedcountry,Moving Average,0.3992710296065518,0.00441712962962963,2
Rowing,CV,Moving Average,0.23483923796395945,0.013917981790442372,4
Rugby,drug,Moving Average,1.0,0.0,2
Rugby Sevens,drug,Moving Average,1.0,0.0,2
Sailing,drug,Moving Average,-0.14942528735632243,0.03703703703703705,9
Sailing,equity,Moving Average,0.5794145253114786,0.012450708885034186,2
Sailing,popularity,Moving Average,0.1598439599696505,1.97868430725476e-05,3
Sailing,normalizedcountry,Moving Average,0.4376128344001313,0.00685325,2
Sailing,CV,Moving Average,0.2388034483251168,0.01074571468291522,2
Shooting,drug,Moving Average,-0.0797991071428572,0.0671875,8
Shooting,equity,Moving Average,0.6317339740493203,0.012481689746247124,2
Shooting,popularity,Moving Average,0.35861859259282425,0.0017701831564193803,2
Shooting,normalizedcountry,Moving Average,0.4668848071686782,0.014807451923076928,2
Shooting,CV,Moving Average,-0.12096028436833395,0.011602524217799132,9
Short Track Speed Skating,drug,Moving Average,1.0,0.0,2
Skeleton,drug,Moving Average,1.0,0.0,2
