,precision,recall,f1-score,support
0,0.6901408450704225,0.6577181208053692,0.6735395189003437,149.0
1,0.7213114754098361,0.75,0.7353760445682451,176.0
accuracy,0.7076923076923077,0.7076923076923077,0.7076923076923077,0.7076923076923077
macro avg,0.7057261602401292,0.7038590604026846,0.7044577817342944,325.0
weighted avg,0.7070209402696126,0.7076923076923077,0.7070263758774226,325.0
