Sport,Year,CV,drug,equity,normalizedcountry,popularity,sustain,Class_1_Probability
Triathlon,2032,0.6693652201046464,0.6715494849378589,0.5,0.2459965789625281,0.0107885444907464,0.5679160356679765,0.999999219961216
Taekwondo,2032,0.6287493399987903,0.0,0.498570261287884,0.3026809514201002,0.0125705914362307,0.3962205612536317,0.9999990910331789
Wrestling,2032,0.7525632036707917,0.7833960391956745,0.5,0.3422445420083166,0.0274651107944322,0.4378711100167674,0.9999821409655516
Archery,2032,0.7752702613427661,0.0,0.4997876951326251,0.2799701432458777,0.0130900320299111,0.3448049231823699,0.99997722191373
Boxing,2032,0.7699375551578738,0.6590028960596666,0.5,0.3815094932767539,0.0243592195973927,0.4378711100167674,0.999975257401618
Gymnastics,2032,0.744837040136485,0.2252675954336885,0.41373286302039,0.3006094497950879,0.0329565404812377,0.5161669456463193,0.9999490552661024
Judo,2032,0.7864276572463659,0.4482195798645592,0.5,1.0,0.0364848961335372,0.4378711100167674,0.999940313660782
Shooting,2032,0.7455575969944382,0.0753735681071948,0.5,0.4914335059269861,0.0331057364810841,0.4644551277301663,0.9998100571055056
Cycling,2032,0.7809089792161451,0.3501854101322223,0.5,0.3805221888660491,0.0501366860498872,0.5679160356679765,0.9997152724094234
Table Tennis,2032,0.7380027194634966,0.0,0.4992805035640572,0.2806023882259505,0.0170273599134986,0.4378711100167674,0.9994993573538892
Badminton,2032,0.6540810739803998,0.0,0.5,0.2317184889880529,0.0168693565954875,0.494698515192506,0.9994480222728526
Weightlifting,2032,0.7715587815418112,0.0,0.5,0.4581501783597106,0.0168286978346034,0.4263896704862011,0.9993756793087606
Tennis,2032,0.7772209606121203,0.0,0.4999952197339813,0.3441987821162995,0.0167009931306844,0.5328235195782961,0.9991193704352272
Sailing,2032,0.8164745742444606,0.0322642874694426,0.5,0.3262407614236387,0.0308477109591258,0.5679160356679765,0.998386569812336
Equestrianism,2032,0.6660539896969259,0.5023294701638593,0.4998944841808569,0.2081726582598917,0.0224821469354585,0.5845800707253038,0.9972567957027384
Canoeing,2032,0.7586527557389572,2.2377487553888792e-18,0.5,0.2696527278546054,0.031177429439956,0.494698515192506,0.9940200821813272
Rugby,2032,0.7183558835147953,0.0,0.5,0.0150000000027966,0.0392422953516142,0.5981967014473177,0.991408095301388
Volleyball,2032,0.766839361956909,0.3635493737135409,0.4989346515434018,0.0971437389235416,0.0312109910014816,0.4840224673150831,0.9876005382198736
Alpinism,2032,0.8660254037844398,0.0,0.5,0.005,0.0002702729151214,0.4644551277301663,0.9843643227140004
Rhythmic Gymnastics,2032,0.7841812268470739,0.0,0.5,0.12,0.0070421164431151,0.4644551277301663,0.9837976905228678
Fencing,2032,0.7878444740012293,0.0,0.4991187121819367,0.2269277051940639,0.0216681414358315,0.3748510537058478,0.9834186952381814
Diving,2032,0.6915986032964607,0.0,0.5,0.1410609797556688,0.0133101013555727,0.4378711100167674,0.9796069507846852
Synchronized Swimming,2032,0.7227105043043663,0.0,0.5,0.1166968436808981,0.0098410284087426,0.4644551277301663,0.9785185723608372
Modern Pentathlon,2032,0.7520410119091552,0.1635515043258043,0.5,0.1359431784818781,0.0070615927524986,0.5464351749739288,0.9721099599971188
Athletics,2032,1.0434843947066752,10.59544832315661,0.5,0.9886314960916543,0.1735549388779403,0.6666396834596393,0.9570855617240672
Beach Volleyball,2032,0.831743440376579,0.0,0.5,0.1215735913142368,0.0094154480479608,0.4644551277301663,0.8829853827885199
Hockey,2032,0.7827169006569954,0.0,0.5,0.078413411097732,0.0359152863717777,0.5265991051263811,0.8655360500667606
Tug-Of-War,2032,0.5462088548624151,0.0,0.0,0.0250000082246018,0.0093196674659285,0.3235577860364937,0.8090319664440854
Rowing,2032,0.945210321521147,0.3083027755506226,0.5,0.3386426351498782,0.0445787685930887,0.5328235195782961,0.7211536084899723
Swimming,2032,0.9452422581406564,0.6687685284599358,0.5,1.0,0.0837280475435875,0.5464351749739288,0.5785853638748534
Ski Jumping,2032,0.7353171629424542,0.0,0.0,0.08877369823866,0.0104494967891241,0.5845800707253038,0.4363542106488768
Basketball,2032,0.654746450064948,0.0322608139601447,0.4999999367325102,0.0863054202559013,0.0344359130193356,0.5161669456463193,0.3772696750549006
Golf,2032,0.6331264929403214,0.0,0.3900317786630164,0.1952778561289988,0.0249613574631291,1.0,0.3771683973076625
Handball,2032,0.7610880224387526,0.0,0.4999994405084328,0.0934926852503729,0.0329541148208032,0.4840224673150831,0.3620247744506069
Water Polo,2032,0.7194071686613308,0.0,0.5,0.0691338035308143,0.0237347898083627,0.5265991051263811,0.2909914775609405
Football,2032,1.1531463749407165,0.0,0.5,0.1172964110685407,0.0565280545899409,0.6559498643503058,0.2040765983757262
Speed Skating,2032,0.8184590162810953,0.0,0.434705498914885,0.1113924851455724,0.0219565825298267,0.5161669456463193,0.1689914022325735
Baseball,2032,0.6768764088958336,0.0815221239974586,0.0,0.04,0.0140992368355949,0.5328235195782961,0.1066063022019991
Figure Skating,2032,0.6538722453113645,0.0,0.4979305438175203,0.3199883583561875,0.0085457470131155,0.494698515192506,0.0998750103143068
Biathlon,2032,0.741087986726008,0.0,0.404814004376386,0.1397920231385863,0.0278435329256171,0.5464351749739288,0.0693592278443231
