Model,Accuracy
LogisticRegression,0.6987704918032787
DecisionTree,0.8811475409836066
RandomForest,0.9016393442622951
GradientBoosting,0.889344262295082
AdaBoost,0.8340163934426229
Bagging,0.8975409836065574
SVM,0.5778688524590164
MLP,0.45286885245901637
KNN,0.6700819672131147
GaussianNB,0.5122950819672131
LDA,0.7049180327868853
